X $ORG$
0 321.973
17.4841 322.56
34.9682 323.172
52.4522 323.739
69.9363 324.202
87.4204 324.595
104.904 324.836
122.389 325.077
139.873 325.318
157.357 325.65
174.841 326.044
192.325 326.452
209.809 326.86
227.293 327.267
244.777 327.675
262.261 328.038
279.745 328.185
297.229 328.264
314.713 328.275
332.198 328.218
349.682 328.271
367.166 328.795
384.65 329.407
402.134 330.019
419.618 330.63
437.102 331.101
454.586 331.309
472.07 331.489
489.554 331.692
507.038 331.896
524.522 332.159
542.006 332.532
559.491 332.973
576.975 333.447
594.459 333.849
611.943 334.164
629.427 334.508
646.911 334.921
664.395 335.404
681.879 335.854
699.363 336.248
716.847 336.652
734.331 337.056
751.815 337.459
769.3 337.863
786.784 338.267
804.268 338.683
821.752 339.142
839.236 339.601
856.72 340.06
874.204 340.519
891.688 340.978
909.172 341.437
926.656 341.896
944.14 342.253
961.624 342.587
979.109 342.928
996.593 343.277
1014.08 343.682
1031.56 344.157
1049.04 344.632
1066.53 345.107
1084.01 345.569
1101.5 345.815
1118.98 346.064
1136.47 346.324
1153.95 346.585
1171.43 346.687
1188.92 346.719
1206.4 346.751
1223.89 346.783
1241.37 347.023
1258.85 347.708
1276.34 348.409
1293.82 349.124
1311.31 349.853
1328.79 350.391
1346.27 350.897
1363.76 351.363
1381.24 351.815
1398.73 352.147
1416.21 352.41
1433.69 352.689
1451.18 352.982
1468.66 353.279
1486.15 353.54
1503.63 353.8
1521.12 354.061
1538.6 354.322
1556.08 354.775
1573.57 355.283
1591.05 355.852
1608.54 356.421
1626.02 356.99
1643.5 357.545
1660.99 358.032
1678.47 358.455
1695.96 358.816
1713.44 359.281
1730.92 360.066
1748.41 360.976
1765.89 361.963
1783.38 362.949
1800.86 363.626
1818.34 364.055
1835.83 364.421
1853.31 364.724
1870.8 364.994
1888.28 365.664
1905.76 366.345
1923.25 366.963
1940.73 367.518
1958.22 368.011
1975.7 368.626
1993.19 369.255
2010.67 369.819
2028.15 370.332
2045.64 370.779
2063.12 371.219
2080.61 371.71
2098.09 372.252
2115.57 372.845
2133.06 373.49
2150.54 374.142
2168.03 374.794
2185.51 375.445
2202.99 376.015
2220.48 376.146
2237.96 376.329
2255.45 376.562
2272.93 376.847
2290.41 377.177
2307.9 377.512
2325.38 377.847
2342.87 378.182
2360.35 378.517
2377.83 378.648
2395.32 378.766
2412.8 378.883
2430.29 379
2447.77 379.064
2465.26 379.222
2482.74 379.327
2500.22 379.382
2517.71 379.386
2535.19 379.451
2552.68 379.55
2570.16 379.649
2587.64 379.698
2605.13 379.64
2622.61 379.404
2640.1 379.168
2657.58 378.932
2675.06 378.697
2692.55 378.689
2710.03 379.101
2727.52 379.568
2745 380.035
2762.48 380.472
2779.97 380.709
2797.45 380.947
2814.94 381.184
2832.42 381.421
2849.91 381.837
2867.39 382.304
2884.87 382.771
2902.36 383.238
2919.84 383.705
2937.33 384.172
2954.81 384.639
2972.29 385.106
2989.78 385.602
3007.26 386.465
3024.75 387.326
3042.23 388.186
3059.71 389.044
3077.2 389.784
3094.68 390.476
3112.17 391.169
3129.65 391.862
3147.13 392.689
3164.62 393.754
3182.1 394.823
3199.59 395.895
3217.07 396.97
3234.55 397.79
3252.04 398.134
3269.52 398.426
3287.01 398.654
3304.49 398.79
3321.98 398.986
3339.46 399.183
3356.94 399.379
3374.43 399.576
3391.91 400.214
3409.4 400.96
3426.88 401.77
3444.36 402.646
3461.85 403.587
3479.33 404.713
3496.82 405.931
3514.3 406.922
3531.78 408.034
3549.27 409.311
3566.75 410.475
3584.24 411.293
3601.72 411.975
3619.2 412.573
3636.69 412.872
3654.17 413.037
3671.66 413.119
3689.14 413.244
3706.63 413.62
3724.11 414.079
3741.59 414.621
3759.08 415.249
3776.56 415.8
3794.05 416.184
3811.53 416.152
3829.01 415.835
3846.5 415.425
3863.98 415.016
3881.47 415.999
3898.95 416.904
3916.43 417.233
3933.92 417.563
3951.4 418.035
3968.89 418.572
3986.37 418.818
4003.85 418.974
4021.34 419.161
4038.82 419.379
4056.31 419.849
4073.79 420.907
4091.27 421.965
4108.76 422.951
4126.24 423.879
4143.73 424.494
4161.21 424.905
4178.7 425.198
4196.18 425.374
4213.66 425.426
4231.15 425.229
4248.63 425.033
4266.12 424.836
4283.6 424.639
4301.08 424.443
4318.57 424.246
4336.05 424.049
4353.54 423.862
4371.02 423.911
4388.5 423.674
4405.99 423.307
4423.47 422.913
4440.96 422.492
4458.44 422.116
4475.92 421.899
4493.41 421.683
4510.89 421.441
4528.38 421.172
4545.86 421.692
4563.35 422.276
4580.83 422.833
4598.31 423.831
4615.8 425.308
4633.28 427.258
4650.77 429.224
4668.25 431.207
4685.73 433.131
4703.22 434.52
4720.7 435.688
4738.19 436.482
4755.67 437.307
4773.15 438.16
4790.64 438.963
4808.12 439.703
4825.61 440.382
4843.09 440.975
4860.57 441.462
4878.06 442.3
4895.54 444.38
4913.03 446.524
4930.51 448.431
4947.99 450.289
4965.48 452.306
4982.96 454.442
5000.45 456.642
5017.93 458.907
5035.42 461.235
5052.9 463.399
5070.38 463.234
5087.87 463.37
5105.35 465.233
5122.84 467.014
5140.32 468.711
5157.8 470.326
5175.29 471.108
5192.77 471.446
5210.26 471.675
5227.74 471.731
5245.22 472.36
5262.71 474.932
5280.19 477.127
5297.68 479.248
5315.16 481.303
5332.64 483.022
5350.13 483.947
5367.61 484.739
5385.1 485.607
5402.58 487.256
5420.06 490.347
5437.55 492.953
5455.03 494.937
5472.52 496.561
5490 497.876
5507.49 498.966
5524.97 499.907
5542.45 500.616
5559.94 501.259
5577.42 503.345
5594.91 505.122
5612.39 506.764
5629.87 508.929
5647.36 510.844
5664.84 512.393
5682.33 513.783
5699.81 514.905
5717.29 515.722
5734.78 516.744
5752.26 518.971
5769.75 520.893
5787.23 523.586
5804.71 526.226
5822.2 528.563
5839.68 530.177
5857.17 531.326
5874.65 532.11
5892.14 533.493
5909.62 534.882
5927.1 536.617
5944.59 539.136
5962.07 541.35
5979.56 543.26
5997.04 545.27
6014.52 545.448
6032.01 544.565
6049.49 544.356
6066.98 547.116
6084.46 548.868
6101.94 550.773
6119.43 552.914
6136.91 554.799
6154.4 556.797
6171.88 558.325
6189.36 559.439
6206.85 559.664
6224.33 560.882
6241.82 562.384
6259.3 564.044
6276.78 564.437
6294.27 564.809
6311.75 567.08
6329.24 568.25
6346.72 568.646
6364.21 569.824
6381.69 571.169
6399.17 573.3
6416.66 574.679
6434.14 575.347
6451.63 575.413
6469.11 574.985
6486.59 576.337
6504.08 577.066
6521.56 577.607
6539.05 578.28
6556.53 579.082
6574.01 581.116
6591.5 583.175
6608.98 585.249
6626.47 587.34
6643.95 589.603
6661.43 591.186
6678.92 590.363
6696.4 593.739
6713.89 594.115
6731.37 594.398
6748.86 594.804
6766.34 595.457
6783.82 596.111
6801.31 596.764
6818.79 597.417
6836.28 598.071
6853.76 600.508
6871.24 602.956
6888.73 605.325
6906.21 607.792
6923.7 611.599
6941.18 613.088
6958.66 612.277
6976.15 611.493
6993.63 612.384
7011.12 613.214
7028.6 614.013
7046.08 614.77
7063.57 615.604
7081.05 616.501
7098.54 617.357
7116.02 618.17
7133.5 618.949
7150.99 619.902
7168.47 620.813
7185.96 621.696
7203.44 623.075
7220.93 624.432
7238.41 625.738
7255.89 627.003
7273.38 628.226
7290.86 629.405
7308.35 630.393
7325.83 630.983
7343.31 629.907
7360.8 629.092
7378.28 628.443
7395.77 628.672
7413.25 630.81
7430.73 633.838
7448.22 636.367
7465.7 638.399
7483.19 640.091
7500.67 641.4
7518.15 642.468
7535.64 643.121
7553.12 644.445
7570.61 645.449
7588.09 645.872
7605.58 645.757
7623.06 646.54
7640.54 647.049
7658.03 647.381
7675.51 647.736
7693 648.851
7710.48 649.531
7727.96 650.866
7745.45 652.825
7762.93 655.038
7780.42 657.272
7797.9 658.8
7815.38 660.518
7832.87 662.426
7850.35 663.86
7867.84 664.675
7885.32 665.045
7902.8 665.34
7920.29 665.558
7937.77 665.678
7955.26 664.226
7972.74 662.584
7990.22 660.751
8007.71 658.728
8025.19 656.747
8042.68 655.545
8060.16 658.604
8077.65 661.521
8095.13 663.912
8112.61 665.536
8130.1 667.16
8147.58 668.742
8165.07 670.229
8182.55 671.646
8200.03 673.423
8217.52 675.354
8235 677.248
8252.49 678.61
8269.97 679.1
8287.45 680.292
8304.94 682.054
8322.42 684.534
8339.91 686.923
8357.39 689.319
8374.87 691.691
8392.36 691.814
8409.84 691.741
8427.33 691.576
8444.81 691.916
8462.3 693.649
8479.78 695.445
8497.26 697.249
8514.75 698.977
8532.23 700.63
8549.72 702.208
8567.2 703.677
8584.68 704.187
8602.17 704.454
8619.65 704.638
8637.14 705.994
8654.62 707.415
8672.1 708.079
8689.59 708.436
8707.07 708.987
8724.56 710.67
